Id,SalePrice
1461,127387.75
1462,160210.47
1463,181811.92
1464,191591.84
1465,185695.69
1466,176519.95
1467,165896.11
1468,163947.77
1469,177878.75
1470,129630.195
1471,205942.88
1472,97453.18
1473,95739.63
1474,155151.53
1475,128231.62
1476,397277.28
1477,249934.06
1478,306109.44
1479,293228.9
1480,457049.72
1481,315058.22
1482,210418.42
1483,173007.12
1484,167420.12
1485,172540.62
1486,193617.67
1487,359325.56
1488,234787.95
1489,204512.81
1490,228974.17
1491,187270.33
1492,94658.33
1493,194712.11
1494,301865.88
1495,300318.28
1496,240620.14
1497,184897.02
1498,163278.47
1499,162497.61
1500,152763.27
1501,170964.89
1502,158340.17
1503,300558.62
1504,226478.83
1505,222804.48
1506,184280.36
1507,239932.47
1508,195539.4
1509,165157.25
1510,145921.33
1511,143482.97
1512,177066.53
1513,139609.44
1514,168614.75
1515,178948.34
1516,161588.9
1517,158762.05
1518,133667.62
1519,228994.06
1520,136137.39
1521,134860.39
1522,164866.64
1523,108502.484
1524,122795.85
1525,125983.85
1526,121388.555
1527,105619.46
1528,129560.3
1529,148909.4
1530,158591.58
1531,102365.49
1532,105834.81
1533,156601.17
1534,119937.03
1535,150619.48
1536,112900.516
1537,77057.62
1538,167000.64
1539,213468.55
1540,99167.836
1541,135980.06
1542,134734.3
1543,234623.33
1544,83525.49
1545,112828.87
1546,127066.95
1547,143043.69
1548,136926.12
1549,114921.99
1550,143026.06
1551,109076.414
1552,130508.21
1553,154435.55
1554,113160.98
1555,174917.19
1556,93163.36
1557,105451.38
1558,95467.55
1559,71611.914
1560,140135.34
1561,143771.94
1562,128715.984
1563,119724.336
1564,165303.97
1565,145662.38
1566,224780.27
1567,72779.805
1568,227200.16
1569,159988.78
1570,138440.84
1571,127436.09
1572,153098.11
1573,255848.3
1574,115765.336
1575,223625.2
1576,224253.45
1577,193174.23
1578,149304.42
1579,154956.75
1580,194481.98
1581,158578.31
1582,129408.73
1583,307324.8
1584,223931.45
1585,138957.19
1586,76369.164
1587,86553.93
1588,150501.83
1589,94757.9
1590,138611.36
1591,99281.02
1592,123190.445
1593,134828.86
1594,122639.17
1595,116667.586
1596,237115.22
1597,198324.56
1598,203947.89
1599,197719.55
1600,187272.77
1601,75641.79
1602,108845.6
1603,76575.8
1604,286416.72
1605,242050.16
1606,164129.36
1607,172593.44
1608,210327.12
1609,196023.34
1610,160070.42
1611,143560.38
1612,182130.28
1613,159456.72
1614,125624.1
1615,87503.87
1616,66696.36
1617,90042.664
1618,123508.875
1619,143483.16
1620,162762.64
1621,126488.98
1622,140095.05
1623,293528.28
1624,204396.53
1625,127430.15
1626,168329.38
1627,188138.1
1628,289021.44
1629,183290.4
1630,365472.53
1631,221748.4
1632,243192.92
1633,165259.28
1634,179375.69
1635,184229.6
1636,152330.88
1637,179514.53
1638,194363.1
1639,180528.77
1640,261349.2
1641,179246.38
1642,224313.11
1643,213743.08
1644,221075.31
1645,206096.66
1646,155146.08
1647,164202.84
1648,130456.29
1649,135970.2
1650,114174.59
1651,125742.75
1652,103245.15
1653,98593.05
1654,154271
1655,159606.08
1656,146965.42
1657,148846.4
1658,149686.55
1659,138353.34
1660,152140.38
1661,469088.72
1662,424799.38
1663,387532.3
1664,475632.97
1665,312304.16
1666,343608.84
1667,371763.53
1668,346144.5
1669,305694.53
1670,362509.12
1671,262296.28
1672,514490.72
1673,294386.6
1674,238253.69
1675,182612.81
1676,190345.84
1677,213921.5
1678,459445
1679,406293.72
1680,335093.22
1681,269364.34
1682,302936.44
1683,176156.27
1684,169048.5
1685,173089.16
1686,169282.47
1687,160870.47
1688,183884
1689,185550.52
1690,184115.83
1691,173446.42
1692,274333.5
1693,163611.86
1694,181117.53
1695,165375.44
1696,274068.97
1697,170663.97
1698,377570.22
1699,333753.78
1700,239973.98
1701,261345.8
1702,257642.33
1703,244039.28
1704,293664.78
1705,238127.11
1706,484061.12
1707,227182.11
1708,204543.11
1709,309821.38
1710,220879.97
1711,256095.86
1712,268748.12
1713,270542.28
1714,218892.28
1715,207060.78
1716,191296.7
1717,169977.33
1718,137651.12
1719,198728.11
1720,241750.56
1721,169741.67
1722,134472.16
1723,151451.83
1724,225674.75
1725,236409.5
1726,187230.9
1727,157085.55
1728,185830.53
1729,160889.34
1730,162865.81
1731,121670.42
1732,131401.94
1733,120727.484
1734,122068.52
1735,136563.83
1736,113241.12
1737,353586.03
1738,210565.06
1739,289856.6
1740,231976.36
1741,189611.95
1742,167957.14
1743,172898.16
1744,300988.12
1745,218783.92
1746,216904.4
1747,216231.58
1748,226010.67
1749,153580.31
1750,127205.98
1751,238368.27
1752,124226.39
1753,139759.89
1754,195371.52
1755,170364.23
1756,132926.28
1757,121083.28
1758,152406.64
1759,159898.92
1760,170510.81
1761,134573.95
1762,179125.92
1763,173687.67
1764,115684.375
1765,172496.6
1766,178048.6
1767,221615.6
1768,145030.88
1769,174297.75
1770,146770.88
1771,131591.11
1772,144038.89
1773,131012.89
1774,131270.17
1775,135484.39
1776,127972.04
1777,114001.44
1778,140401.83
1779,111525.36
1780,169102.02
1781,137818.19
1782,100980.45
1783,133364.08
1784,96395.914
1785,114420.336
1786,145056.08
1787,165931.44
1788,56267.42
1789,103511.7
1790,83157.45
1791,171093.31
1792,155570.2
1793,130242.07
1794,143322.25
1795,132996.3
1796,125104.13
1797,120199.945
1798,125916.31
1799,114159.26
1800,123171.08
1801,131502.16
1802,139785.86
1803,147650.84
1804,142274.7
1805,141218.53
1806,113149.07
1807,129468.64
1808,119048.77
1809,113030.875
1810,145086.4
1811,96255.85
1812,99998.61
1813,120991.914
1814,90700.92
1815,51644.97
1816,89132.32
1817,99470.67
1818,138054.64
1819,121066.9
1820,44699.12
1821,112844.5
1822,143159.89
1823,31752.11
1824,145778.89
1825,129936.57
1826,108297.95
1827,106138.55
1828,145681.77
1829,119339.414
1830,139367.88
1831,179140.5
1832,87504.2
1833,148885.8
1834,122119.27
1835,152551.48
1836,127218.055
1837,88725.54
1838,123781.24
1839,87924.39
1840,144842.92
1841,139634.08
1842,73543.56
1843,132607.6
1844,135933.84
1845,132703.98
1846,153499.05
1847,159671.11
1848,54981.33
1849,119206.11
1850,124416.37
1851,160708.17
1852,129914.94
1853,137426.27
1854,165191.97
1855,132522.5
1856,214488.66
1857,173909.19
1858,123564.72
1859,118225.01
1860,142891.17
1861,118225.01
1862,319348.6
1863,319821.38
1864,319821.38
1865,296866.9
1866,300324.03
1867,245669.7
1868,306095.62
1869,200162.44
1870,244495.25
1871,243882.03
1872,171022.34
1873,222699.89
1874,149742.67
1875,209108.7
1876,195550.98
1877,222270.62
1878,197193.22
1879,135666.89
1880,140971.62
1881,223392.84
1882,260829.27
1883,197121.28
1884,208932.52
1885,254687.5
1886,298990.2
1887,214507.89
1888,272837.6
1889,167419.88
1890,135904.1
1891,134292.84
1892,109868.33
1893,131126.69
1894,131885.22
1895,122936.38
1896,126805.77
1897,115224.9
1898,105679.39
1899,153215.3
1900,157028.19
1901,174431.16
1902,140263.23
1903,221395.28
1904,144696.94
1905,194184.56
1906,185902.31
1907,204234.72
1908,107762.11
1909,141788.22
